objective_profit,portfolio_standard_deviation,1326台化,2002中鋼,2886兆豐金,2207和泰車,2454聯發科,2317鴻海,3711日月光投控,2891中信金,3008大立光,2330台積電,2303聯電,2881富邦金,2308台達電,6505台塑化,3045台灣大,2412中華電,1303南亞,1216統一,2882國泰金,1301台塑
0.0019794073225851017,0.010088,0.001498,0.091532,0.001616,0.089463,0.084868,0.091112,0.092018,0.001837,0.003651,0.087226,0.081827,0.091753,0.087391,0.001862,0.002301,0.092192,0.001827,0.002286,0.09196,0.00178
0.002048745960081351,0.010195,0.000701,0.091219,0.000774,0.090177,0.088071,0.091017,0.091369,0.000857,0.001619,0.089222,0.086724,0.091311,0.089285,0.000849,0.001101,0.091566,0.000827,0.001059,0.091411,0.000841
0.0021180845975776,0.010308,0.0,0.090667,0.0,0.090746,0.091354,0.090703,0.090451,0.0,0.0,0.091189,0.091854,0.09062,0.09114,0.0,0.0,0.090673,0.0,0.0,0.090603,0.0
0.0021874232350738492,0.010433,0.0,0.088683,0.0,0.090425,0.095064,0.089072,0.087923,0.0,0.0,0.092945,0.098309,0.088427,0.09273,0.0,0.0,0.088183,0.0,0.0,0.088238,0.0
0.0022567618725700986,0.010562,0.0,0.086699,0.0,0.090105,0.098774,0.08744,0.085395,0.0,0.0,0.094701,0.104763,0.086235,0.09432,0.0,0.0,0.085693,0.0,0.0,0.085873,0.0
0.002326100510066348,0.010696,0.0,0.084715,0.0,0.089784,0.102484,0.085809,0.082867,0.0,0.0,0.096458,0.111218,0.084043,0.095911,0.0,0.0,0.083203,0.0,0.0,0.083508,0.0
0.002395439147562597,0.010834,0.0,0.082731,0.0,0.089464,0.106195,0.084178,0.080339,0.0,0.0,0.098214,0.117672,0.08185,0.097501,0.0,0.0,0.080713,0.0,0.0,0.081143,0.0
0.0024647777850588465,0.010975,0.0,0.080747,0.0,0.089143,0.109905,0.082547,0.077812,0.0,0.0,0.09997,0.124127,0.079658,0.099091,0.0,0.0,0.078223,0.0,0.0,0.078778,0.0
0.002534116422555096,0.01112,0.0,0.078763,0.0,0.088822,0.113615,0.080915,0.075284,0.0,0.0,0.101727,0.130581,0.077466,0.100681,0.0,0.0,0.075732,0.0,0.0,0.076413,0.0
0.002603455060051345,0.011269,0.0,0.076779,0.0,0.088502,0.117326,0.079284,0.072756,0.0,0.0,0.103483,0.137035,0.075273,0.102271,0.0,0.0,0.073242,0.0,0.0,0.074048,0.0
0.0026727936975475945,0.01142,0.0,0.074795,0.0,0.088181,0.121036,0.077653,0.070228,0.0,0.0,0.105239,0.14349,0.073081,0.103861,0.0,0.0,0.070752,0.0,0.0,0.071683,0.0
0.002742132335043844,0.011575,0.0,0.072811,0.0,0.087861,0.124746,0.076022,0.0677,0.0,0.0,0.106996,0.149944,0.070889,0.105452,0.0,0.0,0.068262,0.0,0.0,0.069318,0.0
